SUCURSAL,STATUS_SOLICITUD,PRODUCTO,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,MESES_VENCIDOS,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,COMPROBANTE_INGRESOS,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,SUMA_SALDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,NUM_CREDITOS,EDAD,TIPO_VIVIENDA,ESCOLARIDAD,TIENE_CUENTA,TARGET_APROBADO,TARGET_PRODUCTO,FLAG_INGRESO_CERO,FLAG_SIN_SCORE_COMP,TIENE_TARJETAS,TIENE_LINEAS_REV,RATIO_SALDO_LINEA,RATIO_DEUDA_INGRESO,RATIO_PAGO_INGRESO,RATIO_REVOLVENTE_INGRESO,SCORE_COMBINADO,EDAD_GRUPO_ORD,SEGMENTO_ORD,ESCOLARIDAD_ORD,NIVEL_RIESGO_ORD,MESES_VENCIDOS_ORD,VIVIENDA_ORD,CLIENTE_BANCO_BIN,COMPROBANTE_INGRESOS_DECLARACION ANUAL,COMPROBANTE_INGRESOS_INVERSIONES,COMPROBANTE_INGRESOS_RECIBO DE NOMINA,COMPROBANTE_INGRESOS_SIN COMPROBANTE,TIPO_CTE_BUENO,TIPO_CTE_MALO,TIPO_CTE_REGULAR,SCORE_CLIENTE_STD,SCORE_COMPORTAMIENTO_STD,SUMA_LINEAS_REVOLVENTES_STD,SUMA_SALDOS_TARJETAS_STD,SUMA_PAGO_MIN_TARJETAS_STD,SOLICITUDES_RECHAZADAS_STD,INGRESO_INFERIDO_STD,RATIO_DEUDA_INGRESO_STD,RATIO_PAGO_INGRESO_STD,RATIO_REVOLVENTE_INGRESO_STD,EDAD_MM,CAPACIDAD_PAGO_TOTAL_MM,CAPACIDAD_TC_MM
113,APROBADA,CREDITO_AUTO,APROBADO,REGULAR,151039.99999999907,1,274800.0,60.0,12281.0,DECLARACION ANUAL,ALTO_A,NO_CLIENTE,0,BAJO,0.4,0,242,780,0,0,0,30,FAMILIARES,PREPARATORIA,1,1,2.0,0,0,0,0,1.8193855932203502,0.0,0.0,0.0,0.8522605112279026,0,4,2,0,2,0,0,1,0,0,0,0,0,1,1.6742718036221327,1.5569407820880832,-0.29941340349477835,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,0.3102138736731937,-0.22151694892031418,-0.11464859499955123,-0.24612184934300496,0.1428571428571428,0.33333333333333337,0.761904761904762
185,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,1,365700.0,-15.0,32366.0,RECIBO DE NOMINA,MEDIO_A,CLIENTE_BANCO,240000,BAJO,1.15,0,251,740,31269,790,0,27,FAMILIARES,LICENCIATURA,1,1,2.0,0,0,1,1,2.4212129237288287,0.9661064079589693,0.02440832972872768,7.415188778347649,0.8490504061156234,0,2,3,0,2,0,1,0,0,1,0,1,0,0,1.820803577708049,1.441273520618406,6.736819820419039,2.0450581914190566,0.15027550681220425,-1.0863226406669884,1.6250341391918137,2.8871955092651036,0.6373537848166532,5.791728662578478,0.05714285714285705,0.9583333333333333,0.047619047619047616
143,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,0,288471.0,9.0,44098.0,RECIBO DE NOMINA,ALTO_A,CLIENTE_BANCO,127000,BAJO,0.91,0,215,704,101992,0,0,28,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,1,1.9098980402542491,2.3128486552678127,0.0,2.879949204045535,0.740151696129957,0,4,3,0,1,3,1,0,0,1,0,1,0,0,1.2346764813643838,1.3371729852956966,3.42392667749295,7.30861975228648,-0.12090730730064678,-1.0863226406669884,2.393043666454171,7.2207082234789155,-0.11464859499955123,2.098889625850885,0.08571428571428563,0.7583333333333334,0.2761904761904762
173,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,1,63100.0,9.0,44098.0,RECIBO DE NOMINA,MEDIO_A,CLIENTE_BANCO,127000,BAJO,0.91,0,215,704,101992,0,0,28,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,1,0.41777012711864664,2.3128486552678127,0.0,2.879949204045535,0.740151696129957,0,2,3,0,2,3,1,0,0,1,0,1,0,0,1.2346764813643838,1.3371729852956966,3.42392667749295,7.30861975228648,-0.12090730730064678,-1.0863226406669884,2.393043666454171,7.2207082234789155,-0.11464859499955123,2.098889625850885,0.08571428571428563,0.7583333333333334,0.2761904761904762
180,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,1,62220.0,9.0,44098.0,RECIBO DE NOMINA,MEDIO_A,CLIENTE_BANCO,127000,BAJO,0.91,0,215,704,101992,0,0,28,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,1,0.41194385593220595,2.3128486552678127,0.0,2.879949204045535,0.740151696129957,0,2,3,0,2,3,1,0,0,1,0,1,0,0,1.2346764813643838,1.3371729852956966,3.42392667749295,7.30861975228648,-0.12090730730064678,-1.0863226406669884,2.393043666454171,7.2207082234789155,-0.11464859499955123,2.098889625850885,0.08571428571428563,0.7583333333333334,0.2761904761904762
128,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,0,227200.0,20.0,79823.9599999994,RECIBO DE NOMINA,ALTO_A,CLIENTE_BANCO,68000,BAJO,0.8,0,245,737,26306,1440,0,44,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,1,1.5042372881356025,0.32955017516044305,0.018039696351822322,0.8518745499471652,0.8327639751552796,1,4,3,0,1,3,1,0,0,1,0,1,0,0,1.723115728317438,1.4325984760081802,1.69418600994747,1.6756867560078745,0.37340060703163863,-1.0863226406669884,4.731764911816721,0.8389011651493378,0.4411409546542927,0.4475207997167693,0.5428571428571428,0.6666666666666667,0.380952380952381
164,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,0,123200.0,56.0,79823.9599999994,INVERSIONES,ALTO_A,CLIENTE_BANCO,0,BAJO,0.44,0,234,766,0,0,0,26,PROPIA,LICENCIATURA,1,1,2.0,0,0,0,0,0.8156779661017,0.0,0.0,0.0,0.8243340898232203,0,4,3,0,1,3,1,0,1,0,0,1,0,0,1.5440213377679848,1.5164572405736962,-0.29941340349477835,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,4.731764911816721,-0.22151694892031418,-0.11464859499955123,-0.24612184934300496,0.02857142857142858,0.3666666666666667,0.7238095238095239
173,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,1,55660.0,20.0,79823.9599999994,RECIBO DE NOMINA,MEDIO_A,CLIENTE_BANCO,68000,BAJO,0.8,0,245,737,26306,1440,0,44,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,1,0.36851165254237517,0.32955017516044305,0.018039696351822322,0.8518745499471652,0.8327639751552796,1,2,3,0,2,3,1,0,0,1,0,1,0,0,1.723115728317438,1.4325984760081802,1.69418600994747,1.6756867560078745,0.37340060703163863,-1.0863226406669884,4.731764911816721,0.8389011651493378,0.4411409546542927,0.4475207997167693,0.5428571428571428,0.6666666666666667,0.380952380952381
151,APROBADA,CREDITO_AUTO,APROBADO,BUENO,151039.99999999907,0,39671.0,20.0,79823.9599999994,RECIBO DE NOMINA,MEDIO_A,CLIENTE_BANCO,68000,BAJO,0.8,0,245,737,26306,1440,0,44,PROPIA,LICENCIATURA,1,1,2.0,0,0,1,1,0.2626522775423745,0.32955017516044305,0.018039696351822322,0.8518745499471652,0.8327639751552796,1,2,3,0,1,3,1,0,0,1,0,1,0,0,1.723115728317438,1.4325984760081802,1.69418600994747,1.6756867560078745,0.37340060703163863,-1.0863226406669884,4.731764911816721,0.8389011651493378,0.4411409546542927,0.4475207997167693,0.5428571428571428,0.6666666666666667,0.380952380952381
111,APROBADA,CREDITO_AUTO,APROBADO,REGULAR,151039.99999999907,0,104500.0,62.0,43708.0,INVERSIONES,ALTO_A,CLIENTE_BANCO,170000,BAJO,0.38,0,277,779,0,0,0,56,FAMILIARES,PREPARATORIA,1,1,2.0,0,0,0,1,0.6918697033898348,0.0,0.0,3.8894481559439917,0.9357740086000956,3,4,2,0,1,0,1,0,1,0,0,0,0,1,2.244117591734029,1.5540491005513413,4.684585130110842,-0.28213814423926503,-0.12090730730064678,-1.0863226406669884,2.3675131758615766,-0.22151694892031418,-0.11464859499955123,2.9208786467241357,0.8857142857142856,0.3166666666666667,0.780952380952381
